,tweets,date,user,location
0,"TREASURE 12 MEMORY LANE LOGO 
This highlights the inclusion, still, of our precious gems, Mashiho and Yedam in TREA… https://t.co/GyMqkFGus1",2022-11-11 16:19:21+00:00,teumemorylane,https://curiouscat.me/teumemor
1,i missing my mashiho and yedam more at this hour ☹️,2022-11-11 16:16:01+00:00,nicsssiee,
2,Let's not normalize missing #Yedam and #Mashiho. I'll be waiting for ur comeback. So pls take ur time and be safe. Be happy 😊,2022-11-11 16:14:55+00:00,soonickz,http://instagram.com/soonickz
3,I miss mashiho and bang yedam,2022-11-11 16:12:25+00:00,YOONJINYOUNG51,Treasure 
4,me to every treasure song tomorrow 😭😔 knowing that I’ll not hear mashiho and yedam’s voice anymore 🤧💔 https://t.co/w1tojAJLrU,2022-11-11 16:12:13+00:00,_acdcbbh,생일축하해 백현아 ❤️
5,@ThinthawtarA @Buildbuilddd @biblesumett Treasure. AND IT WAS SO SAD THAT BANG YEDAM AND MASHIHO LEAVE YG 😭… https://t.co/tLYsO879js,2022-11-11 16:09:55+00:00,smforbuild,jakapan's wife 💙
6,"""Treasure Makers! How was our prank?! Here's Shiho &amp; Damie! They're going nowhere! We're still 12! MASHIHO! BANG YE… https://t.co/7CjmXVoX2J",2022-11-11 16:09:03+00:00,kyutiewoopy,teuland ✦ | 17 | OT10 dni
7,"and oh, check if treasure members + mashiho and yedam also have their own accs by that time. surely you'll see or r… https://t.co/2WIL6ufVaM",2022-11-11 15:56:36+00:00,certifiedkyutii,teuland
8,"Ohh I'm still pinning this hahahaha, now the wait is over, thank you mashiho and bang yedam. See ya when we see ya💙",2022-11-11 15:55:57+00:00,miniepel,name please^^
9,"I wish nothing but the best to TREASURE, Mashiho &amp; Yedam. Please take care of yourself and be HAPPY always. Fly hig… https://t.co/SjGK7sh65Z",2022-11-11 15:48:32+00:00,cecenoona,
10,I waited. Patiently. Not once did I question Mashiho and Yedam's decision to go on hiatus during their peak because… https://t.co/EFTYuSV5cr,2022-11-11 15:48:08+00:00,xxijade_,
11,"🎐 . . . wts lfb ph ( treasure )

treasure sets
   𖧷 ₱700 / member set

available:
✔️ hyunsuk
✔️ jihoon
✔️ junkyu
✔️… https://t.co/LAAPNZ3A9D",2022-11-11 15:47:04+00:00,spacewonuu,"𓂃 ࣪˖ dani 🎠 she/her .ᐟ
‎( bnstan ) — no priv qrts.
𓂋 for 리노, 한, 하로토, 준큐 ⊹"
12,Mashiho and yedam officially left Treasure a day before I got engaged… tumbling nalang ako 🙃,2022-11-11 15:46:27+00:00,ombreeey,Quezon City
13,"@treasuremenfess I'm still here.. Always support TREASURE, Yedam, n Mashiho.. 🤗💞",2022-11-11 15:46:23+00:00,LeeDongHyun96,
14,Thankyou so much for working hard today too. You did a great job today as well.Hope you ended your day with no regr… https://t.co/uevHYPeICr,2022-11-11 15:34:43+00:00,uwietrz,She/her #TREASURE 💎 OT12🦊🍀 
15,"“everyone, this is all just.. a prank. mashiho, yedam, you can come to the stage now.” YES. https://t.co/jaaA3heIAU",2022-11-11 15:32:54+00:00,luvhyuksukie,"treasure12, imy mashidam. "
16,now + BANG YEDAM and MASHIHO https://t.co/1QNStwpjyX,2022-11-11 15:29:57+00:00,glowithme29,
17,"At the end of the day,  I sleep with tears😭🦊🍀
I hope you two are okay.Keep healthy and happy.
#YEDAM 
#MASHIHO https://t.co/BDh94JsSH6",2022-11-11 15:28:01+00:00,nora_khine,
18,"In the middle of this, Bang Yedam and Mashiho recently ended their exclusive contracts with YG. Current BP indicato… https://t.co/D2LC6CVuSX",2022-11-11 15:27:12+00:00,tmikpop,
19,"Day 3.

Hi, mashiho and yedam, it's been three days. Today's a tough day, right, but I hope you're both doing well.… https://t.co/5Hx1NhnZMy",2022-11-11 15:21:22+00:00,mashidamdiary_,tktmsh & bngydm
20,"+ i just want to congrats you in advance for your graduation with your Jeongwoo Brother, you two made us so proud,… https://t.co/QzSV9xa1KV",2022-11-11 15:20:22+00:00,HikoArchives,Pretend au on break 🦊🍀
21,are you sad? let me remind you yoonbin ig story rooting for treasure and now mashiho and yedam will join him now yo… https://t.co/fqA4FufO7x,2022-11-11 15:19:47+00:00,99MAKKEURI,NCIT ‘25
22,treasure x yedam x mashiho when?,2022-11-11 15:16:48+00:00,shikunshishi,"teume, newbie"
23,@.yedam&amp;@mashiho https://t.co/dBGgRHn9pf,2022-11-11 15:13:37+00:00,jayyshi,8/11/2022
24,@dinooo_rawrrrr yours 1 yedam concept and 1 mashiho selca,2022-11-11 15:13:23+00:00,0907cartz,
25,@starfess treasure ft mashiho and yedam,2022-11-11 15:12:44+00:00,diarymashi,OT12 Treasure
26,11:11 fast recovery for mashiho and yedam.,2022-11-11 15:11:45+00:00,pjwooluvbot,"
s!her / 09.28.04 
𖥻 jeongwoo, junghwan and asahi bias 
   my account is dedicated for treasure¹² ✦
   ꕤ 🧁 teume dont follow \\ sb to unfollow 
"
27,"11:11 treasure, mashiho and yedam flowery path ahead ✨",2022-11-11 15:11:37+00:00,teumyyouth,she/her || PH 🇵🇭
28,"my 11:11 on 11.11.22: mashiho's fast and full recovery,  yedam's success on the things he truly wants to pursue, fa… https://t.co/tU761lUC3G",2022-11-11 15:11:17+00:00,turehomeiko,"purok 012, teuland"
29,wtf yedam and mashiho :( im gonna cry,2022-11-11 15:11:15+00:00,IoverkiIIa,she/her 22
30,"11/11 11:11

Mashiho's health, Yedam's current path, Treasure successful concert and all great things for the 12 of them ♡",2022-11-11 15:11:12+00:00,hwsmikha,
31,missing yedam and mashiho a lil bit too much,2022-11-11 15:05:37+00:00,teuwumes, 🇲🇾
32,"if i didn't make it obvious alr, i'm an ot12 teume and WILL continue to talk abt yedam and mashiho",2022-11-11 15:04:46+00:00,kkyedam,17
33,im still in denial. these boys have been a source of my happiness and escape from my daily stresses in life. but no… https://t.co/Ko9ZUxKwsS,2022-11-11 15:04:16+00:00,TeumieK,
34,"1. World Tour 
2. Asian Tour 
3. Mashiho and Yedam comeback😔 https://t.co/s6IHnO87Fv",2022-11-11 14:55:21+00:00,12treasure__,Malaysia
35,"Still indenial 😭😭😭 I love you so much Mashiho and Yedamie! 

MASHIDAM forever 🥺

TREASURE IS 12 FOREVER.

#YEDAM… https://t.co/e7Ox6ZK88C",2022-11-11 14:52:43+00:00,yochiella,VIP 👑 Teume💎 Baby Ahgase 🐥
36,"[ wts / lfb ]

treasure jikjin pop up md pcs

- 99 php ea
- for every tworld pc, must take a ch2 / ch3 concept pc❗️… https://t.co/zK8g9uMURV",2022-11-11 14:51:11+00:00,trsrbox,doyoung & 0104
37,"[ wts / lfb ]

rcbyt : https://t.co/rB6cHtQHOj 

random photocards

🏷: ph treasure pc pcs junghwan doyoung yedam as… https://t.co/bMNzcmIJbs",2022-11-11 14:50:49+00:00,trsrbox,doyoung & 0104
38,"To takata mashiho and bang yedam. Im soo proud of both of you, forever will be. Get a lot of rest and mind piece, c… https://t.co/MRmpZECWLE",2022-11-11 14:50:32+00:00,124evertreasure,
39,"Waiting Yedam and Mashiho again.
- Day 1",2022-11-11 14:46:50+00:00,FF_btts,
40,"I will always support u forever 💓
#TREASURE #MASHIHO #YEDAM https://t.co/xmZfeTHNBw",2022-11-11 14:45:25+00:00,devinaaanylr,
41,playing oceans&amp;engines by niki for yedam and mashiho,2022-11-11 14:40:44+00:00,your_chii,
42,"MISSING MASHIDAM EVERYDAY

💔💔💔💔💔💔💔💔💔💔💔💔

WE TREASURE YEDAM AND MASHIHO
#ThankYouMASHIHOandYEDAM
#트메어디못가_시호담아_사랑해
#マシダムずっと大好きだよ",2022-11-11 14:38:58+00:00,yorthornprinces,DoubleRockSpinEverybodyShakeIt
43,"YEDAM IN LEE MUJIN SERVICE WHEN????????????

😭😭😭😭😭😭😭😭😭😭😭😭

WE TREASURE YEDAM AND MASHIHO
#ThankYouMASHIHOandYEDAM… https://t.co/0UiTLq7TXL",2022-11-11 14:38:37+00:00,yorthornprinces,DoubleRockSpinEverybodyShakeIt
44,"MASHIHO STUDIO CHOOM ARTIST OF THE MONTH WHERE????????????

😭😭😭😭😭😭😭😭😭😭😭😭

WE TREASURE YEDAM AND MASHIHO… https://t.co/42LENT09St",2022-11-11 14:37:21+00:00,yorthornprinces,DoubleRockSpinEverybodyShakeIt
45,"i hate it when i remember mashiho &amp; yedam in every song that i sing. like, when betelgeuse played in my spotify pla… https://t.co/jmjV9neMm2",2022-11-11 14:36:20+00:00,jaenacea,"he, they"
46,im gonna take a break for a while. i will continue to support treasure and yedam and mashiho but not from this acco… https://t.co/LntzljXwJk,2022-11-11 14:27:53+00:00,yedamsluvr,she/her | 20 | desi 
47,i thought i was okay but i was only distracting myself the whole day. i remember neither mashiho or yedam is nowher… https://t.co/ZY9IkwaIxn,2022-11-11 14:25:20+00:00,pjmkooscart,s/h 19 rcbyf
48,I mean honestly yedam and mashiho really hold themselves down...if not then they seriously would overshadow others,2022-11-11 14:23:04+00:00,Teume079,
49,"WE TREASURE YEDAM AND MASHIHO
#ThankYouMASHIHOandYEDAM
#트메어디못가_시호담아_사랑해
#マシダムずっと大好きだよ @treasuremembers",2022-11-11 14:21:16+00:00,doyszm_,
50,"Thank you for being a part of Treasure, thank you for your great effort, thank you for the beautiful voices in ever… https://t.co/CdWkcnjibe",2022-11-11 14:21:10+00:00,doyszm_,
51,i miss u @ mashiho @ yedam https://t.co/wYinBtTsYa,2022-11-11 14:18:22+00:00,kyuzbby,she/her
52,@starfess treasure ft. mashiho &amp; bang yedam i guess?,2022-11-11 14:16:50+00:00,D0YUNIVERSE,TEUME ONLY
53,"+ Thank you for always taking care of Mashiho and Yedam when they were a part of treasure, thank you for always mak… https://t.co/EnG7zPuC3I",2022-11-11 14:16:21+00:00,HikoArchives,Pretend au on break 🦊🍀
54,I miss Mashiho and Yedam even more after watching the wayo vocal perf,2022-11-11 14:12:01+00:00,treasurehome12,
55,"11/11 11:11

Wish all treasure members including yedam and mashiho are happy and healthy 💙

Hope that treasure conc… https://t.co/PwFrz7Gh6L",2022-11-11 14:11:21+00:00,kkyutiesdimple,
56,"Last month i see vt of mashmellows, she was soo missing mashi, and i suddenly questioning how she'll really sad.… https://t.co/8K4PRSPjkI",2022-11-11 14:10:55+00:00,uwooolfieee,
57,"wts // want to sell aab ar treasure

💸 15k/ea (take min 2 pc)

✅ keep event
✅ split payment only (sisain 10k buat c… https://t.co/vwcwNaH0XU",2022-11-11 14:08:07+00:00,simplyasahi,teuland
58,yedam and mashiho quit what is left of treasure 😭😹 https://t.co/nlmprnbmPV,2022-11-11 14:05:31+00:00,wobblywooby,
59,"wts lfb ph

Blooming md rpc 
On hand
Mashiho &amp; Yedam
P250 each (P230 if PAYO)

MOP- gcash 
MOD- direct jnt (usually… https://t.co/zhLpVTd4Uy",2022-11-11 14:05:23+00:00,yoon_chowchow,
60,"If tomorrow Yedam and Mashiho suddenly appear for a goodbye stage, i dont know what to say. Probably pengsan",2022-11-11 14:02:01+00:00,HyunsukforYoshi,
61,"I was enchanted to meet you. ❤

We'll keep on waiting for you.
Until we see you again.
Our tiny lovely duo
Yedam an… https://t.co/RiNVYz2NNX",2022-11-11 13:58:21+00:00,yedammiemybaby,
62,tell me if they mention mashiho and yedam.,2022-11-11 13:58:21+00:00,bubblehikun,♡012♡
63,@treasuremenfess a message from mashiho and yedam? 🥹😭,2022-11-11 13:39:32+00:00,sahikaze,
64,day four of waiting for yedam and complete healing of mashiho 🦊🍀 https://t.co/OWh72lzPfe,2022-11-11 13:38:56+00:00,https_kate_,past
65,@hooniestyles that's not treasure. treasure isn't and will never be treasure without Mashiho and Yedam,2022-11-11 13:38:51+00:00,gandreaa05,"A Coruña, Spain"
66,"Wts ready ina aab pc treasure

✅inc packing
✅co oren/ijo
Dom bogor

T. Aab treasure hyunsuk, jihoon, yoshi, junkyu,… https://t.co/4UL0jo7tSM",2022-11-11 13:37:03+00:00,bunnykembar97,
67,"you're also terrible trying to find people to curse instead of saying nice words to yedam and mashiho, supporting t… https://t.co/b8CMDBRSgu",2022-11-11 13:35:53+00:00,nigisayhi,
68,First Ravn departure from ONEUS and now yedam and mashiho also leave TREASURE. why it always happen to my fav group… https://t.co/Tz5KY2G8Xp,2022-11-11 13:34:46+00:00,min_ara98,"Kedah, Malaysia"
69,"when i heard this song, it made me wonder did mashiho felt this way? or yedam? or the members? they are humans too.… https://t.co/N8GtqpYuZJ",2022-11-11 13:33:29+00:00,F0RMASHlHO,➶ 99. she/her
70,WHAT IF VIDEO OF YEDAM AND MASHIHO GREETINGS AAAAA😭😭😭I WOULD CRY THOO😭😭😭 https://t.co/0Utyq73GS0,2022-11-11 13:32:39+00:00,milkchoc15,
71,D3 : waiting for YEDAM MASHIHO,2022-11-11 13:31:05+00:00,amsnmie,˗ˏˋ MyJ ˎˊ˗
72,"Yedam came out at the agency's compulsion
mashiho he left of his own volition because he knew that if he continued… https://t.co/dHAHTm7asW",2022-11-11 13:30:57+00:00,PREDICTIONKP0P,
73,"Wts lfb ph onhand
Treasure Random Photocards

TFS - 90 each
Polaroid - 100 each
Applewood - 85 each

Dop: 11/14
mop… https://t.co/f4NTKYabhs",2022-11-11 13:30:57+00:00,chrispycart,"Makati City, National Capital "
74,"If yedam want to be producer, he can be a producer at YGE and no need to leave the group. We also can wait for mash… https://t.co/qbb2DPA9R7",2022-11-11 13:27:59+00:00,min_ara98,"Kedah, Malaysia"
75,@volkaynoe make sure she recognizes mashiho and yedam as treasure members too &lt;/3,2022-11-11 13:26:58+00:00,guitaristpjh,she/her
76,"biggest plot twist is ""hi, its a prank. Yedam and Mashiho will not leaave us. We will be 12 forever."" https://t.co/PPYAH2PQB7",2022-11-11 13:25:05+00:00,byunn_bh,🇵🇭
77,@wynhsu a message from mashiho and yedam?? 🥲😭,2022-11-11 13:24:06+00:00,yoshinizm,🇵🇭 — she/her 
78,"Wts lfb ph onhand
TSS CH1 ALBUM PC

Concept - 85 each
Selfie - 100 each

Dop: 11/14
Mop: gcash

Dm/reply to claim… https://t.co/pnRK1ZUJgN",2022-11-11 13:24:01+00:00,chrispycart,"Makati City, National Capital "
79,"wts lfb 11.11 

🧾 treasure random photocards tingi

— less ₱20 on each pc for today (Nov. 11)
— payo / 1 week reser… https://t.co/hwEjwi6HWS",2022-11-11 13:21:00+00:00,harusvibe,read pinned before transacting
80,"Yedam, Mashiho why? Just why?",2022-11-11 13:14:59+00:00,slowmotionssss,Treasure Map
81,I hope YGE would release a TREASURE TRACE concert DVD. That would be memorable and a good ending gift for fans espe… https://t.co/IbpoTdO8MR,2022-11-11 13:12:10+00:00,yedamcloud,🔕 DM queries
82,"#JMsOnhand wts / lfb SALE

TREASURE 2021 SUMMER CAMP KIT VIDEO PHOTOCARDS
💸100 ea

TREASURE SUMMER CAMP REG PC SET… https://t.co/MSglux4OuB",2022-11-11 13:11:46+00:00,JMKshop_PH,"Caloocan City, National Capita"
